Component;Description;Sug.Extra;Aft.Orders;Available;Committed;OnHand;OnOrder;Vendor
BU743292 ;WORN GLD FWP/BEAN CORD DNGL ER;      0 ;     10-;     10-;    496 ;    486 ;      0 ;1DREAM ;
BU743294 ;WORN GLD RECON TURQ CRSCNT STD ER;      0 ;      2-;      2-;     42 ;     40 ;      0 ;1DREAM ;
BU743547 ;WORN GLD OVL DMND CHRM POST DRP ER;      0 ;     14-;     14-;    352 ;    338 ;      0 ;1DREAM ;
BU743549 ;WORN GLD 3-LAYER GRAD FAN NK;      0 ;      1-;      1-;    216 ;    215 ;      0 ;1DREAM ;
BU743572 ;FGPBR CROSS OVL LCKT CHRM PDT;      0 ;      1-;      1-;      2 ;      1 ;      0 ;1DREAM ;
BU748204 ;PNDT BRSS/FLSH GP FLAT BACK SHAKER CHRM 18"SM PPRCLP CHN;      0 ;      1-;      1-;     25 ;     24 ;      0 ;1DREAM ;
BW743540 ;WORN SLV BAMBOO CLKTP HP;      0 ;      4-;      4-;    114 ;    110 ;      0 ;1DREAM ;
BW743542 ;WORN SLV BEAD/GR JSPR CORD DSC PDT;      0 ;      3-;      3-;      3 ;      0 ;      0 ;1DREAM ;
BW743546 ;WORN SLV RECON TRQ OBLONG NK;      0 ;      6-;      6-;     43 ;     37 ;      0 ;1DREAM ;
BW743572 ;IMRHB CROSS OVL LCKT CHRM PDT;      0 ;      3-;      3-;     18 ;     15 ;      0 ;1DREAM ;
1015546  ;HOOP-SML BAMBOO;      0 ;     20-;     20-;     48 ;     28 ;      0 ;1GADOO ;
1417013  ;HOOP-2X20 SQR TWST OVAL;      0 ;   1616-;   4316-;   4784 ;    468 ;   2700 ;1GADOO ;
1419425  ;HOOP-SM BAMBOO;      0 ;     50-;     50-;    150 ;    100 ;      0 ;1GADOO ;
1419965  ;HOOP-SMALL PUFFED WITH HEART;      0 ;     28-;     28-;     58 ;     30 ;      0 ;1GADOO ;
1420360  ;HOOP-STMP FLUTED 20MM;      0 ;      6-;      6-;     96 ;     90 ;      0 ;1GADOO ;
1420443  ;SMALL PUFFED QUILTED HOOP;      0 ;     18-;     18-;     18 ;      0 ;      0 ;1GADOO ;
1421159  ;HOOP-POLISH OVAL;      0 ;      4-;      4-;     46 ;     42 ;      0 ;1GADOO ;
1421427  ;HOOP-STMP FLUTED OCTAGON;      0 ;     40-;     40-;     40 ;      0 ;      0 ;1GADOO ;
1430212  ;HOOP SMAL OVAL;      0 ;      3 ;    137-;    150 ;     13 ;    140 ;1GADOO ;
